"Задача","Контур","Agent / Скрипт","Профиль","Тип работы","Вход → Выход","Триггер","Tools","Куда пишет","Тир модели"
"Оркестратор Build: скелет — код и статусы айтемов в БД; LLM-менеджер подключается только на исключениях (N фейлов верификации, coverage-пробел). Ты — последний уровень (needs-attention)","A · Build","Код + LLM-менеджер исключений","","Оркестрация","Команда «обработай группу ИКПУ X» → статусы айтемов, needs-attention список","manual","Очередь + статусы в БД","pipeline_runs / pipeline_items","дорогой LLM"
"Карта регуляторных айтемов группы ИКПУ: какие типы требований бывают (сертификация, маркировка, санитарка, лицензия, техрег…) — мировая практика + 50 бенчмарк-стран","A · Build","One-time big task (Cartographer research)","","Deep research","Группа ИКПУ → карта ожидаемых айтемов (draft)","manual","Internet access, Deep research","Карта группы (draft)","дорогой LLM"
"Апрув карты группы: скоуп фиксируется тобой — ошибка здесь = системный пробел дальше по конвейеру","A · Build","Абдурахмон","","Апрув (ты)","Карта draft → карта approved","step (по конвейеру)","","Карта группы (approved)","человек"
"Каждый ожидаемый айтем → поисковые вопросы к LegalX + ожидаемая схема ответа (JSON-контракт)","A · Build","Question writer","","Формулировка запросов","Айтем карты → вопросы + схема ответа","step (по конвейеру)","","Очередь вопросов","дешёвый LLM"
"Исполнить вопрос: итеративный поиск → отбор фрагментов → номер нормы, полное название акта, якорь. Пусто → переформулировать и искать снова. Итог различает «нормы нет в УЗ» vs «LegalX не нашёл» (второе → needs-attention)","A · Build","Retriever","Норма","Итеративный поиск","Вопрос → фрагмент + реквизиты акта / negative-результат","step (по конвейеру)","RPC search_norms (LegalX, гибрид pgvector+FTS)","Айтем (draft)","средний LLM"
"Verifier (Норма): фрагмент реально отвечает на вопрос, ничего не выдумано. Независим: другая модель/промпт, видит вопрос+фрагмент+первоисточник, НЕ видит рассуждений Retriever","A · Build","Verifier","Норма","Проверка","Вопрос + фрагмент + первоисточник → pass/fail + причина","step (по конвейеру)","Доступ к первоисточнику в LegalX","Вердикт айтема","дорогой LLM"
"Суть требования: саммари простым языком для бизнеса","A · Build","Summarizer","Норма","Объяснение","Фрагмент нормы → саммари","step (по конвейеру)","","Айтем (draft)","дешёвый LLM"
"Verifier (Суть): саммари не искажает норму, ничего не добавлено","A · Build","Verifier","Норма","Проверка","Фрагмент + саммари → pass/fail","step (по конвейеру)","","Вердикт","дорогой LLM"
"Отобрать регуляторные айтемы ИКПУ с категорией «маркировка/упаковка» (и др. категории)","A · Build","Classifier","Label","Классификация","Требование → категория","step (по конвейеру)","","Айтем (draft)","дешёвый LLM"
"Verifier (Label): классификация корректна","A · Build","Verifier","Label","Проверка","Требование + категория → pass/fail","step (по конвейеру)","","Вердикт","дорогой LLM"
